t # 1
v 70609 9
v 70610 57
v 70611 4713
v 70612 13
v 70613 14
v 70614 72
v 70615 16
v 70616 17
v 70617 4714
v 70618 19
v 70619 76
v 70620 4713
v 70621 125
v 70622 3849
v 70623 248
v 70624 8
v 70625 63
v 70626 1217
v 70627 24
v 70628 5
v 70629 25
v 70630 47
v 70631 48
v 70632 28
v 70633 65
v 70634 143
v 70635 161
v 70636 4715
v 70637 4716
v 70638 0
v 70639 1
v 70640 107
v 70641 164
v 70642 54
v 70643 4
v 70644 5
v 70645 5
v 70646 38
v 70647 438
v 70648 7
v 70649 56
v 70650 8
v 70651 9
v 70652 296
v 70653 3949
v 70654 13
v 70655 59
v 70656 459
v 70657 3236
v 70658 4717
v 70659 673
v 70660 4718
v 70661 19
v 70662 20
v 70663 3949
v 70664 376
v 70665 3879
v 70666 43
v 70667 8
v 70668 23
v 70669 1217
v 70670 24
v 70671 8
v 70672 25
v 70673 47
v 70674 48
v 70675 28
v 70676 51
v 70677 51
v 70678 30
v 70679 145
v 70680 162
v 70681 438
v 70682 4716
v 70683 0
v 70684 1
v 70685 107
v 70686 134
v 70687 5
v 70688 5
v 70689 6
v 70690 38
v 70691 7
v 70692 8
v 70693 9
v 70694 70
v 70695 4719
v 70696 13
v 70697 14
v 70698 705
v 70699 73
v 70700 17
v 70701 4720
v 70702 19
v 70703 20
v 70704 4719
v 70705 358
v 70706 3839
v 70707 248
v 70708 8
v 70709 142
v 70710 1217
v 70711 113
v 70712 5
v 70713 25
v 70714 47
v 70715 48
v 70716 28
v 70717 29
v 70718 29
v 70719 65
v 70720 444
v 70721 194
v 70722 1310
v 70723 4716
v 70724 0
v 70725 1
v 70726 107
v 70727 36
v 70728 438
v 70729 438
v 70730 195
v 70731 7
v 70732 8
v 70733 9
v 70734 296
v 70735 4721
v 70736 13
v 70737 14
v 70738 482
v 70739 16
v 70740 2891
v 70741 4722
v 70742 19
v 70743 20
v 70744 4721
v 70745 603
v 70746 3935
v 70747 43
v 70748 8
v 70749 63
v 70750 1217
v 70751 24
v 70752 832
v 70753 972
v 70754 25
v 70755 47
v 70756 48
v 70757 28
v 70758 65
v 70759 237
v 70760 832
v 70761 875
v 70762 4716
v 70763 0
v 70764 1
v 70765 107
v 70766 5
v 70767 5
v 70768 195
v 70769 6
v 70770 7
v 70771 8
v 70772 9
v 70773 57
v 70774 4163
v 70775 13
v 70776 14
v 70777 72
v 70778 16
v 70779 4723
v 70780 19
v 70781 76
v 70782 4163
v 70783 173
v 70784 4724
v 70785 43
v 70786 51
v 70787 63
v 70788 1217
v 70789 44
v 70790 5
v 70791 25
v 70792 64
v 70793 48
v 70794 28
v 70795 184
v 70796 184
v 70797 30
v 70798 387
v 70799 815
v 70800 4725
v 70801 4716
v 70802 0
v 70803 1
v 70804 107
v 70805 5
v 70806 5
v 70807 6
v 70808 202
v 70809 7
v 70810 8
v 70811 9
v 70812 57
v 70813 4726
v 70814 13
v 70815 14
v 70816 72
v 70817 73
v 70818 4727
v 70819 19
v 70820 20
v 70821 4726
v 70822 140
v 70823 3867
v 70824 22
v 70825 8
v 70826 23
v 70827 1217
v 70828 24
v 70829 25
v 70830 365
v 70831 48
v 70832 28
v 70833 292
v 70834 292
v 70835 65
v 70836 523
v 70837 415
v 70838 799
v 70839 4716
v 70840 0
v 70841 1
v 70842 107
v 70843 5
v 70844 5
v 70845 38
v 70846 7
v 70847 8
v 70848 9
v 70849 70
v 70850 3627
v 70851 13
v 70852 59
v 70853 14
v 70854 72
v 70855 73
v 70856 17
v 70857 4728
v 70858 19
v 70859 76
v 70860 3627
v 70861 21
v 70862 4167
v 70863 43
v 70864 51
v 70865 63
v 70866 1217
v 70867 44
v 70868 5
v 70869 25
v 70870 64
v 70871 48
v 70872 28
v 70873 30
v 70874 373
v 70875 105
v 70876 118
v 70877 4680
v 70878 0
v 70879 1
v 70880 80
v 70881 3
v 70882 5
v 70883 5
v 70884 195
v 70885 7
v 70886 8
v 70887 9
v 70888 57
v 70889 2339
v 70890 13
v 70891 59
v 70892 14
v 70893 60
v 70894 86
v 70895 17
v 70896 4729
v 70897 19
v 70898 20
v 70899 76
v 70900 2339
v 70901 140
v 70902 3879
v 70903 3891
v 70904 22
v 70905 5
v 70906 5
v 70907 8
v 70908 63
v 70909 1217
v 70910 44
v 70911 5
v 70912 25
v 70913 47
v 70914 48
v 70915 28
v 70916 30
v 70917 145
v 70918 31
v 70919 764
v 70920 4716
v 70921 0
v 70922 1
v 70923 107
v 70924 134
v 70925 108
v 70926 5
v 70927 5
v 70928 148
v 70929 6
v 70930 55
v 70931 7
v 70932 56
v 70933 8
v 70934 9
v 70935 57
v 70936 4730
v 70937 13
v 70938 14
v 70939 72
v 70940 73
v 70941 17
v 70942 4731
v 70943 19
v 70944 76
v 70945 4730
v 70946 89
v 70947 3849
v 70948 43
v 70949 8
v 70950 63
v 70951 1217
v 70952 24
v 70953 5
v 70954 25
v 70955 47
v 70956 48
v 70957 28
v 70958 65
v 70959 2095
v 70960 67
v 70961 686
v 70962 4716
v 70963 0
v 70964 1
v 70965 107
v 70966 164
v 70967 348
v 70968 5
v 70969 5
v 70970 93
v 70971 38
v 70972 66
v 70973 7
v 70974 8
v 70975 9
v 70976 11
v 70977 4732
v 70978 4733
v 70979 13
v 70980 280
v 70981 84
v 70982 3988
v 70983 86
v 70984 17
v 70985 4734
v 70986 88
v 70987 76
v 70988 4732
v 70989 501
v 70990 3839
v 70991 43
v 70992 8
v 70993 63
v 70994 1217
v 70995 113
v 70996 25
v 70997 48
v 70998 28
v 70999 51
v 71000 51
v 71001 65
v 71002 194
v 71003 194
v 71004 545
v 71005 4716
v 71006 0
v 71007 1
v 71008 107
v 71009 5
v 71010 5
v 71011 6
v 71012 136
v 71013 7
v 71014 8
v 71015 9
v 71016 57
v 71017 4735
v 71018 13
v 71019 14
v 71020 999
v 71021 16
v 71022 17
v 71023 4736
v 71024 19
v 71025 20
v 71026 4735
v 71027 183
v 71028 4520
v 71029 43
v 71030 8
v 71031 63
v 71032 1217
v 71033 44
v 71034 25
v 71035 47
v 71036 48
v 71037 28
v 71038 105
v 71039 105
v 71040 216
v 71041 239
v 71042 947
v 71043 4737
v 71044 4716
v 71045 0
v 71046 1
v 71047 107
v 71048 134
v 71049 5
v 71050 5
v 71051 38
v 71052 801
v 71053 7
v 71054 8
v 71055 9
v 71056 4532
v 71057 70
v 71058 4738
v 71059 13
v 71060 459
v 71061 60
v 71062 73
v 71063 4739
v 71064 19
v 71065 20
v 71066 4738
v 71067 1632
v 71068 3839
v 71069 43
v 71070 8
v 71071 23
v 71072 1217
v 71073 24
v 71074 5
v 71075 25
v 71076 64
v 71077 48
v 71078 28
v 71079 292
v 71080 292
v 71081 30
v 71082 3054
v 71083 161
v 71084 256
v 71085 4680
v 71086 0
v 71087 1
v 71088 107
v 71089 5
v 71090 5
v 71091 227
v 71092 738
v 71093 7
v 71094 56
v 71095 8
v 71096 9
v 71097 70
v 71098 1957
v 71099 13
v 71100 14
v 71101 101
v 71102 16
v 71103 17
v 71104 4740
v 71105 19
v 71106 20
v 71107 1957
v 71108 501
v 71109 3871
v 71110 43
v 71111 8
v 71112 63
v 71113 1217
v 71114 24
v 71115 5
v 71116 25
v 71117 319
v 71118 48
v 71119 28
v 71120 184
v 71121 184
v 71122 65
v 71123 4741
v 71124 522
v 71125 4742
v 71126 4716
v 71127 0
v 71128 1
v 71129 107
v 71130 134
v 71131 5
v 71132 5
v 71133 195
v 71134 6
v 71135 104
v 71136 7
v 71137 8
v 71138 9
v 71139 296
v 71140 2353
v 71141 13
v 71142 14
v 71143 424
v 71144 16
v 71145 17
v 71146 4743
v 71147 19
v 71148 76
v 71149 2353
v 71150 140
v 71151 3999
v 71152 43
v 71153 5
v 71154 5
v 71155 8
v 71156 23
v 71157 1217
v 71158 44
v 71159 5
v 71160 25
v 71161 47
v 71162 48
v 71163 28
v 71164 152
v 71165 152
v 71166 30
v 71167 8
v 71168 906
v 71169 4744
v 71170 4716
v 71171 0
v 71172 1
v 71173 107
v 71174 54
v 71175 568
v 71176 105
v 71177 5
v 71178 6
v 71179 7
v 71180 8
v 71181 9
v 71182 57
v 71183 2607
v 71184 13
v 71185 59
v 71186 14
v 71187 4745
v 71188 16
v 71189 17
v 71190 4746
v 71191 19
v 71192 20
v 71193 2607
v 71194 173
v 71195 3946
v 71196 8
v 71197 63
v 71198 1217
v 71199 113
v 71200 5
v 71201 25
v 71202 47
v 71203 48
v 71204 28
v 71205 65
v 71206 194
v 71207 347
v 71208 4716
v 71209 0
v 71210 1
v 71211 107
v 71212 134
v 71213 108
v 71214 66
v 71215 82
v 71216 38
v 71217 7
v 71218 56
v 71219 8
v 71220 9
v 71221 11
v 71222 4747
v 71223 13
v 71224 14
v 71225 155
v 71226 16
v 71227 4748
v 71228 19
v 71229 20
v 71230 4747
v 71231 183
v 71232 4749
v 71233 8
v 71234 127
v 71235 1217
v 71236 24
v 71237 152
v 71238 25
v 71239 48
v 71240 28
v 71241 250
v 71242 67
v 71243 286
v 71244 919
v 71245 4716
v 71246 0
v 71247 1
v 71248 107
v 71249 5
v 71250 5
v 71251 148
v 71252 38
v 71253 7
v 71254 8
v 71255 9
v 71256 70
v 71257 4367
v 71258 13
v 71259 60
v 71260 16
v 71261 4750
v 71262 19
v 71263 20
v 71264 4751
v 71265 160
v 71266 4752
v 71267 43
v 71268 8
v 71269 23
v 71270 1217
v 71271 24
v 71272 5
v 71273 25
v 71274 129
v 71275 64
v 71276 48
v 71277 758
v 71278 28
v 71279 184
v 71280 184
v 71281 65
v 71282 414
v 71283 916
v 71284 4753
v 71285 4716
v 71286 0
v 71287 1
v 71288 107
v 71289 671
v 71290 164
v 71291 5
v 71292 5
v 71293 195
v 71294 7
v 71295 8
v 71296 9
v 71297 70
v 71298 3037
v 71299 13
v 71300 14
v 71301 316
v 71302 16
v 71303 4754
v 71304 75
v 71305 20
v 71306 3037
v 71307 310
v 71308 3999
v 71309 43
v 71310 8
v 71311 63
v 71312 1217
v 71313 113
v 71314 5
v 71315 25
v 71316 319
v 71317 48
v 71318 28
v 71319 184
v 71320 184
v 71321 30
v 71322 66
v 71323 194
v 71324 373
v 71325 4716
v 71326 0
v 71327 1
v 71328 107
v 71329 5
v 71330 5
v 71331 438
v 71332 7
v 71333 56
v 71334 829
v 71335 8
v 71336 9
v 71337 57
v 71338 4755
v 71339 13
v 71340 14
v 71341 72
v 71342 73
v 71343 17
v 71344 4756
v 71345 19
v 71346 20
v 71347 4755
v 71348 173
v 71349 3867
v 71350 43
v 71351 8
v 71352 23
v 71353 1217
v 71354 24
v 71355 5
v 71356 25
v 71357 48
v 71358 28
v 71359 292
v 71360 292
v 71361 65
v 71362 184
v 71363 184
v 71364 935
v 71365 4716
v 71366 0
v 71367 1
v 71368 107
v 71369 36
v 71370 295
v 71371 5
v 71372 7
v 71373 56
v 71374 829
v 71375 8
v 71376 9
v 71377 296
v 71378 2506
v 71379 13
v 71380 14
v 71381 138
v 71382 73
v 71383 4757
v 71384 75
v 71385 20
v 71386 2506
v 71387 598
v 71388 3856
v 71389 43
v 71390 8
v 71391 23
v 71392 1217
v 71393 835
v 71394 366
v 71395 270
v 71396 25
v 71397 48
v 71398 28
v 71399 65
v 71400 215
v 71401 184
v 71402 3226
v 71403 4716
v 71404 0
v 71405 1
v 71406 107
v 71407 5
v 71408 5
v 71409 195
v 71410 148
v 71411 6
v 71412 7
v 71413 8
v 71414 9
v 71415 57
v 71416 4758
v 71417 13
v 71418 14
v 71419 72
v 71420 16
v 71421 17
v 71422 4759
v 71423 19
v 71424 20
v 71425 4758
v 71426 160
v 71427 3930
v 71428 43
v 71429 8
v 71430 63
v 71431 1217
v 71432 24
v 71433 5
v 71434 25
v 71435 129
v 71436 48
v 71437 758
v 71438 28
v 71439 67
v 71440 67
v 71441 30
v 71442 320
v 71443 557
v 71444 347
v 71445 4716
v 71446 0
v 71447 1
v 71448 107
v 71449 724
v 71450 145
v 71451 5
v 71452 38
v 71453 227
v 71454 7
v 71455 56
v 71456 8
v 71457 9
v 71458 11
v 71459 14
v 71460 3858
v 71461 4760
v 71462 19
v 71463 76
v 71464 4761
v 71465 526
v 71466 3849
v 71467 8
v 71468 1217
v 71469 24
v 71470 161
v 71471 25
v 71472 47
v 71473 48
v 71474 28
v 71475 65
v 71476 206
v 71477 4762
v 71478 0
v 71479 1
v 71480 107
v 71481 724
v 71482 764
v 71483 764
v 71484 93
v 71485 6
v 71486 7
v 71487 56
v 71488 829
v 71489 8
v 71490 9
v 71491 57
v 71492 998
v 71493 13
v 71494 14
v 71495 16
v 71496 17
v 71497 4763
v 71498 19
v 71499 20
v 71500 4764
v 71501 21
v 71502 43
v 71503 8
v 71504 63
v 71505 44
v 71506 371
v 71507 25
v 71508 47
v 71509 48
v 71510 28
v 71511 65
v 71512 66
v 71513 557
v 71514 37
v 71515 4716
v 71516 0
v 71517 1
v 71518 107
v 71519 5
v 71520 5
v 71521 148
v 71522 6
v 71523 7
v 71524 8
v 71525 9
v 71526 57
v 71527 4013
v 71528 13
v 71529 14
v 71530 4765
v 71531 16
v 71532 4766
v 71533 19
v 71534 20
v 71535 4013
v 71536 603
v 71537 4024
v 71538 798
v 71539 5
v 71540 5
v 71541 8
v 71542 63
v 71543 1217
v 71544 44
v 71545 5
v 71546 25
v 71547 64
v 71548 48
v 71549 28
v 71550 65
v 71551 167
v 71552 4767
v 71553 4762
v 71554 0
v 71555 1
v 71556 107
v 71557 134
v 71558 724
v 71559 438
v 71560 5
v 71561 38
v 71562 7
v 71563 8
v 71564 9
v 71565 11
v 71566 14
v 71567 73
v 71568 17
v 71569 4768
v 71570 19
v 71571 20
v 71572 4769
v 71573 97
v 71574 43
v 71575 8
v 71576 63
v 71577 44
v 71578 366
v 71579 25
v 71580 47
v 71581 48
v 71582 28
v 71583 65
v 71584 809
v 71585 619
v 71586 4770
v 71587 4762
v 71588 0
v 71589 1
v 71590 107
v 71591 348
v 71592 5
v 71593 5
v 71594 195
v 71595 148
v 71596 38
v 71597 802
v 71598 7
v 71599 8
v 71600 9
v 71601 616
v 71602 57
v 71603 2586
v 71604 13
v 71605 59
v 71606 14
v 71607 95
v 71608 16
v 71609 17
v 71610 4771
v 71611 19
v 71612 76
v 71613 2586
v 71614 117
v 71615 3876
v 71616 126
v 71617 8
v 71618 63
v 71619 1217
v 71620 25
v 71621 129
v 71622 443
v 71623 4772
v 71624 808
v 71625 48
v 71626 130
v 71627 758
v 71628 28
v 71629 105
v 71630 105
v 71631 30
v 71632 1888
v 71633 1253
v 71634 3804
v 71635 4716
v 71636 0
v 71637 1
v 71638 107
v 71639 671
v 71640 108
v 71641 29
v 71642 29
v 71643 227
v 71644 7
v 71645 8
v 71646 921
v 71647 57
v 71648 1875
v 71649 13
v 71650 14
v 71651 16
v 71652 17
v 71653 4773
v 71654 19
v 71655 1875
v 71656 247
v 71657 4005
v 71658 8
v 71659 127
v 71660 1217
v 71661 24
v 71662 49
v 71663 128
v 71664 25
v 71665 808
v 71666 48
v 71667 28
v 71668 184
v 71669 184
v 71670 250
v 71671 377
v 71672 403
v 71673 4774
v 71674 4716
v 71675 0
v 71676 1
v 71677 107
v 71678 671
v 71679 108
v 71680 5
v 71681 5
v 71682 38
v 71683 7
v 71684 56
v 71685 8
v 71686 9
v 71687 11
v 71688 4775
v 71689 13
v 71690 14
v 71691 424
v 71692 73
v 71693 4776
v 71694 19
v 71695 76
v 71696 4775
v 71697 565
v 71698 4250
v 71699 43
v 71700 5
v 71701 5
v 71702 8
v 71703 63
v 71704 1217
v 71705 44
v 71706 5
v 71707 25
v 71708 47
v 71709 48
v 71710 28
v 71711 30
v 71712 390
v 71713 522
v 71714 975
v 71715 4716
v 71716 0
v 71717 1
v 71718 107
v 71719 54
v 71720 568
v 71721 5
v 71722 5
v 71723 69
v 71724 55
v 71725 7
v 71726 8
v 71727 9
v 71728 57
v 71729 4777
v 71730 13
v 71731 59
v 71732 14
v 71733 72
v 71734 16
v 71735 17
v 71736 4778
v 71737 19
v 71738 76
v 71739 4777
v 71740 514
v 71741 3839
v 71742 43
v 71743 8
v 71744 63
v 71745 1217
v 71746 44
v 71747 5
v 71748 25
v 71749 64
v 71750 48
v 71751 28
v 71752 30
v 71753 956
v 71754 2766
v 71755 4762
v 71756 0
v 71757 1
v 71758 107
v 71759 54
v 71760 4
v 71761 419
v 71762 5
v 71763 227
v 71764 7
v 71765 56
v 71766 8
v 71767 9
v 71768 296
v 71769 3156
v 71770 59
v 71771 13
v 71772 14
v 71773 2269
v 71774 73
v 71775 4779
v 71776 19
v 71777 20
v 71778 3156
v 71779 451
v 71780 3999
v 71781 43
v 71782 8
v 71783 63
v 71784 1217
v 71785 44
v 71786 8
v 71787 25
v 71788 48
v 71789 28
v 71790 105
v 71791 105
v 71792 30
v 71793 1629
v 71794 947
v 71795 462
v 71796 4762
v 71797 0
v 71798 1
v 71799 107
v 71800 5
v 71801 5
v 71802 38
v 71803 104
v 71804 7
v 71805 8
v 71806 9
v 71807 70
v 71808 4248
v 71809 13
v 71810 59
v 71811 14
v 71812 72
v 71813 73
v 71814 17
v 71815 4780
v 71816 19
v 71817 76
v 71818 4248
v 71819 160
v 71820 3935
v 71821 213
v 71822 8
v 71823 249
v 71824 1921
v 71825 113
v 71826 5
v 71827 25
v 71828 64
v 71829 48
v 71830 28
v 71831 152
v 71832 152
v 71833 65
v 71834 194
v 71835 1300
v 71836 438
v 71837 4762
v 71838 0
v 71839 1
v 71840 107
v 71841 5
v 71842 5
v 71843 55
v 71844 738
v 71845 7
v 71846 8
v 71847 9
v 71848 57
v 71849 4222
v 71850 13
v 71851 14
v 71852 72
v 71853 16
v 71854 4781
v 71855 19
v 71856 76
v 71857 4222
v 71858 89
v 71859 3839
v 71860 43
v 71861 8
v 71862 63
v 71863 1217
v 71864 24
v 71865 25
v 71866 64
v 71867 48
v 71868 28
v 71869 184
v 71870 184
v 71871 30
v 71872 815
v 71873 366
v 71874 4782
v 71875 4762
v 71876 0
v 71877 1
v 71878 107
v 71879 108
v 71880 194
v 71881 194
v 71882 195
v 71883 227
v 71884 202
v 71885 7
v 71886 8
v 71887 9
v 71888 57
v 71889 4783
v 71890 13
v 71891 14
v 71892 245
v 71893 16
v 71894 17
v 71895 4784
v 71896 19
v 71897 20
v 71898 4783
v 71899 431
v 71900 4785
v 71901 248
v 71902 8
v 71903 249
v 71904 1217
v 71905 24
v 71906 25
v 71907 365
v 71908 808
v 71909 48
v 71910 370
v 71911 184
v 71912 184
v 71913 65
v 71914 390
v 71915 194
v 71916 4786
v 71917 4762
v 71918 0
v 71919 1
v 71920 107
v 71921 5
v 71922 5
v 71923 195
v 71924 7
v 71925 8
v 71926 9
v 71927 4532
v 71928 57
v 71929 4787
v 71930 13
v 71931 14
v 71932 60
v 71933 308
v 71934 16
v 71935 17
v 71936 4788
v 71937 19
v 71938 20
v 71939 4787
v 71940 223
v 71941 3856
v 71942 43
v 71943 8
v 71944 63
v 71945 1217
v 71946 24
v 71947 25
v 71948 64
v 71949 48
v 71950 28
v 71951 65
v 71952 371
v 71953 104
v 71954 4762
v 71955 0
v 71956 1
v 71957 107
v 71958 134
v 71959 5
v 71960 5
v 71961 55
v 71962 195
v 71963 7
v 71964 8
v 71965 9
v 71966 57
v 71967 4789
v 71968 13
v 71969 14
v 71970 60
v 71971 308
v 71972 16
v 71973 17
v 71974 4790
v 71975 19
v 71976 20
v 71977 4789
v 71978 413
v 71979 3839
v 71980 3867
v 71981 43
v 71982 8
v 71983 63
v 71984 1217
v 71985 3835
v 71986 44
v 71987 25
v 71988 64
v 71989 48
v 71990 28
v 71991 152
v 71992 152
v 71993 65
v 71994 154
v 71995 143
v 71996 2780
v 71997 4762
v 71998 0
v 71999 1
v 72000 107
v 72001 164
v 72002 5
v 72003 5
v 72004 148
v 72005 6
v 72006 7
v 72007 8
v 72008 9
v 72009 57
v 72010 4791
v 72011 13
v 72012 14
v 72013 72
v 72014 16
v 72015 17
v 72016 4792
v 72017 19
v 72018 20
v 72019 4791
v 72020 42
v 72021 3879
v 72022 43
v 72023 8
v 72024 63
v 72025 1217
v 72026 24
v 72027 25
v 72028 47
v 72029 48
v 72030 28
v 72031 30
v 72032 145
v 72033 184
v 72034 2998
v 72035 4762
v 72036 0
v 72037 1
v 72038 107
v 72039 164
v 72040 5
v 72041 5
v 72042 195
v 72043 6
v 72044 377
v 72045 7
v 72046 8
v 72047 9
v 72048 616
v 72049 70
v 72050 3904
v 72051 13
v 72052 14
v 72053 15
v 72054 16
v 72055 17
v 72056 4793
v 72057 75
v 72058 3904
v 72059 42
v 72060 3839
v 72061 43
v 72062 8
v 72063 23
v 72064 1217
v 72065 113
v 72066 25
v 72067 129
v 72068 365
v 72069 26
v 72070 48
v 72071 758
v 72072 28
v 72073 152
v 72074 152
v 72075 30
v 72076 50
v 72077 414
v 72078 4794
v 72079 4762
v 72080 0
v 72081 1
v 72082 107
v 72083 5
v 72084 5
v 72085 195
v 72086 7
v 72087 8
v 72088 9
v 72089 57
v 72090 4256
v 72091 13
v 72092 14
v 72093 60
v 72094 16
v 72095 17
v 72096 4795
v 72097 19
v 72098 20
v 72099 4256
v 72100 183
v 72101 3908
v 72102 43
v 72103 5
v 72104 5
v 72105 8
v 72106 63
v 72107 1217
v 72108 24
v 72109 5
v 72110 25
v 72111 64
v 72112 48
v 72113 28
v 72114 65
v 72115 185
v 72116 649
v 72117 185
v 72118 4716
v 72119 0
v 72120 1
v 72121 107
v 72122 5
v 72123 5
v 72124 6
v 72125 7
v 72126 8
v 72127 9
v 72128 4532
v 72129 57
v 72130 4796
v 72131 13
v 72132 14
v 72133 72
v 72134 16
v 72135 17
v 72136 4797
v 72137 19
v 72138 4798
v 72139 212
v 72140 3839
v 72141 43
v 72142 8
v 72143 63
v 72144 1217
v 72145 24
v 72146 25
v 72147 48
v 72148 28
v 72149 161
v 72150 161
v 72151 65
v 72152 215
v 72153 426
v 72154 975
v 72155 4762
v 72156 0
v 72157 1
v 72158 107
v 72159 108
v 72160 484
v 72161 5
v 72162 38
v 72163 7
v 72164 56
v 72165 8
v 72166 9
v 72167 296
v 72168 4799
v 72169 13
v 72170 14
v 72171 282
v 72172 73
v 72173 4800
v 72174 19
v 72175 20
v 72176 4799
v 72177 173
v 72178 4801
v 72179 43
v 72180 8
v 72181 23
v 72182 1217
v 72183 44
v 72184 167
v 72185 25
v 72186 48
v 72187 28
v 72188 184
v 72189 184
v 72190 65
v 72191 161
v 72192 161
v 72193 972
v 72194 4762
v 72195 0
v 72196 1
v 72197 107
v 72198 5
v 72199 5
v 72200 148
v 72201 6
v 72202 7
v 72203 8
v 72204 9
v 72205 57
v 72206 4206
v 72207 13
v 72208 14
v 72209 72
v 72210 4802
v 72211 19
v 72212 76
v 72213 4206
v 72214 151
v 72215 3839
v 72216 43
v 72217 8
v 72218 23
v 72219 1217
v 72220 113
v 72221 5
v 72222 25
v 72223 48
v 72224 28
v 72225 649
v 72226 832
v 72227 30
v 72228 185
v 72229 51
v 72230 4803
v 72231 4762
v 72232 0
v 72233 1
v 72234 107
v 72235 53
v 72236 724
v 72237 3599
v 72238 5
v 72239 38
v 72240 7
v 72241 56
v 72242 8
v 72243 9
v 72244 11
v 72245 4804
v 72246 13
v 72247 14
v 72248 782
v 72249 16
v 72250 4805
v 72251 19
v 72252 76
v 72253 2803
v 72254 77
v 72255 3839
v 72256 43
v 72257 51
v 72258 63
v 72259 1217
v 72260 24
v 72261 728
v 72262 161
v 72263 25
v 72264 48
v 72265 248
v 72266 28
v 72267 292
v 72268 292
v 72269 30
v 72270 491
v 72271 5
v 72272 843
v 72273 3684
v 72274 2209
v 72275 4762
v 72276 0
v 72277 1
v 72278 107
v 72279 5
v 72280 5
v 72281 195
v 72282 7
v 72283 8
v 72284 9
v 72285 4532
v 72286 57
v 72287 4806
v 72288 13
v 72289 14
v 72290 60
v 72291 73
v 72292 17
v 72293 4807
v 72294 19
v 72295 76
v 72296 4806
v 72297 42
v 72298 3839
v 72299 43
v 72300 8
v 72301 63
v 72302 1217
v 72303 24
v 72304 5
v 72305 25
v 72306 64
v 72307 48
v 72308 28
v 72309 30
v 72310 444
v 72311 956
v 72312 1139
v 72313 4762
v 72314 0
v 72315 1
v 72316 107
v 72317 5
v 72318 5
v 72319 745
v 72320 7
v 72321 8
v 72322 9
v 72323 70
v 72324 4808
v 72325 13
v 72326 14
v 72327 751
v 72328 16
v 72329 17
v 72330 4809
v 72331 19
v 72332 76
v 72333 4808
v 72334 160
v 72335 3935
v 72336 43
v 72337 8
v 72338 23
v 72339 1217
v 72340 24
v 72341 5
v 72342 25
v 72343 47
v 72344 48
v 72345 28
v 72346 65
v 72347 4810
v 72348 167
v 72349 4810
v 72350 4716
v 72351 0
v 72352 1
v 72353 107
v 72354 68
v 72355 5
v 72356 38
v 72357 738
v 72358 7
v 72359 8
v 72360 9
v 72361 11
v 72362 4811
v 72363 13
v 72364 14
v 72365 15
v 72366 73
v 72367 4812
v 72368 19
v 72369 76
v 72370 4811
v 72371 608
v 72372 3839
v 72373 126
v 72374 8
v 72375 23
v 72376 1217
v 72377 24
v 72378 25
v 72379 26
v 72380 48
v 72381 28
v 72382 184
v 72383 184
v 72384 30
v 72385 29
v 72386 2263
v 72387 416
v 72388 4762
v 72389 0
v 72390 1
v 72391 80
v 72392 3
v 72393 4
v 72394 118
v 72395 118
v 72396 38
v 72397 206
v 72398 7
v 72399 8
v 72400 9
v 72401 70
v 72402 2722
v 72403 13
v 72404 59
v 72405 459
v 72406 4813
v 72407 86
v 72408 4814
v 72409 19
v 72410 2722
v 72411 103
v 72412 3839
v 72413 22
v 72414 5
v 72415 5
v 72416 8
v 72417 23
v 72418 1217
v 72419 24
v 72420 51
v 72421 25
v 72422 64
v 72423 48
v 72424 28
v 72425 51
v 72426 51
v 72427 65
v 72428 29
v 72429 398
v 72430 4815
v 72431 4716
v 72432 0
v 72433 1
v 72434 80
v 72435 3
v 72436 5
v 72437 5
v 72438 6
v 72439 7
v 72440 8
v 72441 9
v 72442 57
v 72443 272
v 72444 13
v 72445 59
v 72446 14
v 72447 72
v 72448 16
v 72449 17
v 72450 4816
v 72451 19
v 72452 76
v 72453 272
v 72454 274
v 72455 4664
v 72456 43
v 72457 8
v 72458 63
v 72459 1217
v 72460 24
v 72461 5
v 72462 25
v 72463 47
v 72464 48
v 72465 370
v 72466 292
v 72467 292
v 72468 65
v 72469 29
v 72470 225
v 72471 68
v 72472 4762
v 72473 0
v 72474 1
v 72475 107
v 72476 3
v 72477 36
v 72478 145
v 72479 145
v 72480 277
v 72481 7
v 72482 8
v 72483 9
v 72484 4532
v 72485 70
v 72486 435
v 72487 13
v 72488 301
v 72489 155
v 72490 16
v 72491 17
v 72492 4817
v 72493 19
v 72494 20
v 72495 435
v 72496 437
v 72497 4818
v 72498 3935
v 72499 1300
v 72500 194
v 72501 8
v 72502 23
v 72503 1217
v 72504 44
v 72505 143
v 72506 25
v 72507 48
v 72508 28
v 72509 51
v 72510 8
v 72511 30
v 72512 65
v 72513 4247
v 72514 566
v 72515 118
v 72516 4762
v 72517 0
v 72518 1
v 72519 107
v 72520 54
v 72521 5
v 72522 5
v 72523 148
v 72524 6
v 72525 604
v 72526 7
v 72527 8
v 72528 9
v 72529 70
v 72530 1757
v 72531 13
v 72532 59
v 72533 459
v 72534 72
v 72535 86
v 72536 4819
v 72537 19
v 72538 76
v 72539 1757
v 72540 140
v 72541 3839
v 72542 43
v 72543 51
v 72544 23
v 72545 1217
v 72546 24
v 72547 5
v 72548 25
v 72549 47
v 72550 48
v 72551 28
v 72552 366
v 72553 366
v 72554 30
v 72555 49
v 72556 292
v 72557 419
v 72558 4762
